날짜,close,volume,tradingValue
2023-06-01,161360,513952,82931294720
2023-06-02,159612,437410,69815884920
2023-06-05,158415,278804,44166735660
2023-06-07,156759,435056,68198943504
2023-06-08,154736,572651,88609725136
2023-06-09,155472,374030,58151192160
2023-06-12,153632,326058,50092942656
2023-06-13,151792,463541,70361815472
2023-06-14,151240,407421,61618352040
2023-06-15,150964,570540,86131000560
2023-06-16,152068,561495,85385421660
2023-06-19,149951,286111,42902630561
2023-06-20,148204,350370,51926235480
2023-06-21,146272,407890,59662886080
2023-06-22,148664,454373,67548907672
2023-06-23,150780,639187,96376615860
2023-06-26,151884,472645,71787213180
2023-06-27,138728,1985746,275478571088
2023-06-28,139648,873429,121972612992
2023-06-29,140292,429098,60199016616
2023-06-30,140660,352934,49643696440
2023-07-03,139464,631775,88109868600
2023-07-04,137901,538421,74248794321
2023-07-05,140384,610009,85635503456
2023-07-06,140384,538888,75651252992
2023-07-07,136704,570241,77954225664
2023-07-10,136429,452270,61702743830
2023-07-11,134865,895904,120826092960
2023-07-12,140292,1233584,173061966528
2023-07-13,143512,1599639,229567392168
2023-07-14,145536,740979,107839119744
2023-07-17,143420,410166,58826007720
2023-07-18,137992,700093,96607233256
2023-07-19,137901,401664,55389867264
2023-07-20,138085,387437,53499238145
2023-07-21,138912,441891,61383962592
2023-07-24,135601,727990,98716171990
2023-07-25,132932,676067,89870938444
2023-07-26,131001,1392014,182355226014
2023-07-27,132565,691414,91657296910
2023-07-28,132289,399358,52830670462
2023-07-31,134865,488123,65830708395
2023-08-01,138912,756451,105080121312
2023-08-02,136153,487868,66424691804
2023-08-03,139096,666789,92747682744
2023-08-04,138637,283796,39344626052
2023-08-07,137072,408366,55975544352
2023-08-08,136153,294483,40094743899
2023-08-09,142500,747778,106558365000
2023-08-10,143604,643018,92339956872
2023-08-11,143972,403271,58059732412
2023-08-14,141673,552839,78322359647
2023-08-16,134036,925102,123996971672
2023-08-17,132105,591038,78079074990
2023-08-18,138360,3172925,439005903000
2023-08-21,133484,738251,98544696484
2023-08-22,131921,583582,76986721022
2023-08-23,130173,445238,57957966174
2023-08-24,133025,542805,72206635125
2023-08-25,132013,261750,34554402750
2023-08-28,132841,274667,36487038947
2023-08-29,135692,427492,58007244464
2023-08-30,135692,307476,41722033392
2023-08-31,132381,550503,72876137643
2023-09-01,132381,300610,39795052410
2023-09-04,133852,294724,39449396848
2023-09-05,134865,314427,42405197355
2023-09-06,135140,403164,54483582960
2023-09-07,134681,323905,43623849305
2023-09-08,135692,320800,43529993600
2023-09-11,137349,362725,49819916025
2023-09-12,134497,383717,51608785349
2023-09-13,134497,296621,39894634637
2023-09-14,135785,458772,62294356020
2023-09-15,134772,377691,50902171452
2023-09-18,134681,202778,27310343818
2023-09-19,133945,197951,26514546695
2023-09-20,133668,217019,29008495692
2023-09-21,131093,395499,51847150407
2023-09-22,128149,473817,60719174733
2023-09-25,128149,286652,36734167148
2023-09-26,125665,364367,45788179055
2023-09-27,128057,283556,36311330692
2023-10-04,125021,486280,60795211880
2023-10-05,121250,541206,65621227500
2023-10-06,126033,440224,55482751392
2023-10-10,128977,472845,60986129565
2023-10-11,129621,244473,31688834733
2023-10-12,132565,420572,55753127180
2023-10-13,132381,267677,35435348937
2023-10-16,132932,345490,45926676680
2023-10-17,133393,284013,37885346109
2023-10-18,130909,267703,35044732027
2023-10-19,130909,343862,45014630558
2023-10-20,130816,396615,51883587840
2023-10-23,129345,1001708,129565921260
2023-10-24,138085,1052215,145295108275
2023-10-25,138085,721758,99663953430
2023-10-26,137717,581373,80064945441
2023-10-27,137533,453697,62398309501
2023-10-30,137349,447185,61420412565
2023-10-31,137533,459954,63258853482
2023-11-01,137440,509616,70041623040
2023-11-02,137808,589679,81262483632
2023-11-03,137901,493855,68103098355
2023-11-06,145260,1301868,189109345680
2023-11-07,143144,1353595,193759002680
2023-11-08,144892,644073,93321025116
2023-11-09,145352,762777,110871162504
2023-11-10,144616,594584,85986359744
2023-11-13,144248,674999,97367255752
2023-11-14,146364,381488,55836109632
2023-11-15,151792,693433,105257581936
2023-11-16,154736,561859,86939814224
2023-11-17,154920,437629,67797484680
2023-11-20,156300,400134,62540944200
2023-11-21,158415,385548,61076586420
2023-11-22,158508,407480,64588839840
2023-11-23,159060,338403,53826381180
2023-11-24,154552,559641,86493635832
2023-11-27,149768,497188,74462852384
2023-11-28,151792,327369,49691995248
2023-11-29,148756,322423,47962355788
2023-11-30,149860,403030,60398075800
2023-12-01,150044,260800,39131475200
2023-12-04,149584,248117,37114333328
2023-12-05,149584,272912,40823268608
2023-12-06,147284,301613,44422769092
2023-12-07,144984,363906,52760547504
2023-12-08,154275,777479,119945572725
2023-12-11,163475,1302894,212990596650
2023-12-12,168719,1444813,243767404547
