날짜,close,volume,tradingValue
2023-06-01,249500,667845,166627327500
2023-06-02,255000,746706,190410030000
2023-06-05,257500,626160,161236200000
2023-06-07,270000,1226036,331029720000
2023-06-08,267500,1150058,307640515000
2023-06-09,267000,898687,239949429000
2023-06-12,268500,729029,195744286500
2023-06-13,283000,1659227,469561241000
2023-06-14,254000,2308685,586405990000
2023-06-15,258500,1416683,366212555500
2023-06-16,266000,1144214,304360924000
2023-06-19,267000,837631,223647477000
2023-06-20,262000,680495,178289690000
2023-06-21,261500,701772,183513378000
2023-06-22,265000,531586,140870290000
2023-06-23,263000,436861,114894443000
2023-06-26,261500,362609,94822253500
2023-06-27,254500,772954,196716793000
2023-06-28,243000,909749,221069007000
2023-06-29,241000,686811,165521451000
2023-06-30,249000,644888,160577112000
2023-07-03,263500,1749721,461051483500
2023-07-04,274500,4655997,1278071176500
2023-07-05,281500,1595113,449024309500
2023-07-06,275000,1370915,377001625000
2023-07-07,280000,1036721,290281880000
2023-07-10,285000,2544029,725048265000
2023-07-11,295000,1752416,516962720000
2023-07-12,279000,2197894,613212426000
2023-07-13,281500,1406043,395801104500
2023-07-14,281500,935951,263470206500
2023-07-17,279000,996912,278138448000
2023-07-18,326000,5966121,1944955446000
2023-07-19,361000,5892304,2127121744000
2023-07-20,362500,3226383,1169563837500
2023-07-21,381500,4012520,1530776380000
2023-07-24,404500,4135995,1673009977500
2023-07-25,462000,5442923,2514630426000
2023-07-26,455000,11089701,5045813955000
2023-07-27,376500,6651740,2504380110000
2023-07-28,407500,4579184,1866017480000
2023-07-31,419000,2250798,943084362000
2023-08-01,408500,3357955,1371724617500
2023-08-02,380500,1838944,699718192000
2023-08-03,390000,1530821,597020190000
2023-08-04,380500,973480,370409140000
2023-08-07,340000,2047494,696147960000
2023-08-08,339000,1550330,525561870000
2023-08-09,343500,1073489,368743471500
2023-08-10,337500,912235,307879312500
2023-08-11,323500,1043452,337556722000
2023-08-14,318000,932824,296638032000
2023-08-16,303500,1057135,320840472500
2023-08-17,318000,1546048,491643264000
2023-08-18,312000,1023213,319242456000
2023-08-21,328000,1067372,350098016000
2023-08-22,337500,1300180,438810750000
2023-08-23,321000,1012929,325150209000
2023-08-24,333500,881759,294066626500
2023-08-25,342500,1136688,389315640000
2023-08-28,344500,656141,226040574500
2023-08-29,330500,979750,323807375000
2023-08-30,324500,850021,275831814500
2023-08-31,324500,795872,258260464000
2023-09-01,308500,817093,252073190500
2023-09-04,307500,719380,221209350000
2023-09-05,306500,801440,245641360000
2023-09-06,301000,648114,195082314000
2023-09-07,289000,1245717,360012213000
2023-09-08,299000,790609,236392091000
2023-09-11,290000,721585,209259650000
2023-09-12,277500,1208260,335292150000
2023-09-13,275000,801850,220508750000
2023-09-14,285000,716570,204222450000
2023-09-15,280000,697568,195319040000
2023-09-18,280000,582615,163132200000
2023-09-19,278000,486652,135289256000
2023-09-20,290500,688258,199938949000
2023-09-21,282500,636305,179756162500
2023-09-22,287000,566136,162481032000
2023-09-25,261500,1259365,329323947500
2023-09-26,254500,850834,216537253000
2023-09-27,253000,1144937,289669061000
2023-10-04,235000,1012455,237926925000
2023-10-05,233500,674090,157400015000
2023-10-06,235500,351511,82780840500
2023-10-10,223000,856672,191037856000
2023-10-11,243500,991492,241428302000
2023-10-12,254000,1136493,288669222000
2023-10-13,246000,869053,213787038000
2023-10-16,242500,911320,220995100000
2023-10-17,249000,970967,241770783000
2023-10-18,249500,611962,152684519000
2023-10-19,239500,679263,162683488500
2023-10-20,233500,1083331,252957788500
2023-10-23,231000,707846,163512426000
2023-10-24,233500,1094510,255568085000
2023-10-25,213000,1279210,272471730000
2023-10-26,199600,1598617,319083953200
2023-10-27,203500,1219202,248107607000
2023-10-30,212000,744013,157730756000
2023-10-31,196200,1012456,198643867200
2023-11-01,188600,1012178,190896770800
2023-11-02,217000,1416982,307485094000
2023-11-03,230000,1917715,441074450000
2023-11-06,299000,3967285,1186218215000
2023-11-07,284500,4786379,1361724825500
2023-11-08,255500,1790087,457367228500
2023-11-09,248500,1773521,440719968500
2023-11-10,233000,853321,198823793000
2023-11-13,227000,928068,210671436000
2023-11-14,249000,1460540,363674460000
2023-11-15,250000,1618135,404533750000
2023-11-16,242500,1023370,248167225000
2023-11-17,238000,901372,214526536000
2023-11-20,251000,1068545,268204795000
2023-11-21,245500,913147,224177588500
2023-11-22,239500,651438,156019401000
2023-11-23,243500,419964,102261234000
2023-11-24,243000,444715,108065745000
2023-11-27,241000,464771,112009811000
2023-11-28,244500,704248,172188636000
2023-11-29,269500,1594422,429696729000
2023-11-30,274000,1518780,416145720000
2023-12-01,280000,2131345,596776600000
2023-12-04,323000,6062155,1958076065000
2023-12-05,308500,2233869,689148586500
2023-12-06,301000,1430188,430486588000
2023-12-07,301500,1395977,420887065500
2023-12-08,313000,1149679,359849527000
2023-12-11,319000,1208426,385487894000
2023-12-12,329000,1171359,385377111000
2023-12-13,312000,1264683,394581096000
2023-12-14,320000,1418618,453957760000
2023-12-15,318000,1328029,422313222000
2023-12-18,322000,1881631,605885182000
2023-12-19,318000,1019914,324332652000
2023-12-20,318500,582685,185585172500
2023-12-21,306000,1344971,411561126000
2023-12-22,294500,834654,245805603000
2023-12-26,284000,978199,277808516000
2023-12-27,290500,879540,255506370000
2023-12-28,288000,557312,160505856000
2024-01-02,283500,441580,125187930000
2024-01-03,271500,639495,173622892500
2024-01-04,279000,611803,170693037000
2024-01-05,315000,3123118,983782170000
2024-01-08,315500,1321504,416934512000
2024-01-09,304000,791727,240685008000
2024-01-10,293500,791460,232293510000
2024-01-11,306000,1242703,380267118000
2024-01-12,304000,648041,197004464000
2024-01-15,292500,802958,234865215000
2024-01-16,296500,633626,187870109000
2024-01-17,282000,775134,218587788000
2024-01-18,289000,1149526,332213014000
2024-01-19,278500,1064874,296567409000
2024-01-22,248000,1825800,452798400000
2024-01-23,239500,1233895,295517852500
2024-01-24,239000,808713,193282407000
2024-01-25,227000,1094625,248479875000
2024-01-26,244000,1373958,335245752000
2024-01-29,227000,1552920,352512840000
2024-01-30,220000,1455093,320120460000
2024-01-31,213500,810765,173098327500
2024-02-01,228000,1010740,230448720000
2024-02-02,229000,905402,207337058000
2024-02-05,224500,434759,97603395500
2024-02-06,216000,771192,166577472000
2024-02-07,230500,2845259,655832199500
2024-02-08,243500,1499991,365247808500
2024-02-13,240000,1101830,264439200000
2024-02-14,243500,930391,226550208500
2024-02-15,253000,951210,240656130000
2024-02-16,254000,823032,209050128000
2024-02-19,244000,610835,149043740000
2024-02-20,253500,994910,252209685000
2024-02-21,249000,657216,163646784000
2024-02-22,249500,447068,111543466000
2024-02-23,247500,441153,109185367500
2024-02-26,242000,449148,108693816000
2024-02-27,236500,701468,165897182000
2024-02-28,256000,3637396,931173376000
2024-02-29,266500,1114075,296900987500
2024-03-04,270000,1016547,274467690000
2024-03-05,255500,1035646,264607553000
2024-03-06,249500,577892,144184054000
2024-03-07,250500,552040,138286020000
2024-03-08,247000,576953,142507391000
2024-03-11,245000,354673,86894885000
2024-03-12,262000,1070068,280357816000
2024-03-13,264500,682265,180459092500
2024-03-14,266500,998393,266071734500
2024-03-15,256500,493068,126471942000
2024-03-18,268000,678264,181774752000
2024-03-19,271500,1016973,276108169500
2024-03-20,265000,603154,159835810000
2024-03-21,276000,1131930,312412680000
2024-03-22,277000,528708,146452116000
2024-03-25,291000,1527123,444392793000
2024-03-26,292500,844487,247012447500
2024-03-27,287500,861359,247640712500
2024-03-28,277500,680977,188971117500
2024-03-29,274000,617611,169225414000
2024-04-01,270500,460008,124432164000
2024-04-02,261500,679991,177817646500
2024-04-03,245500,1079181,264938935500
2024-04-04,246500,859930,211972745000
2024-04-05,239500,442108,105884866000
2024-04-08,240500,1097858,264034849000
2024-04-09,236500,611609,144645528500
2024-04-11,239000,569787,136179093000
2024-04-12,228500,553362,126443217000
2024-04-15,228000,538285,122728980000
2024-04-16,220500,491631,108404635500
2024-04-17,215000,477126,102582090000
2024-04-18,229000,642403,147110287000
2024-04-19,227500,468724,106634710000
2024-04-22,240000,694496,166679040000
2024-04-23,233500,445260,103968210000
2024-04-24,245500,810487,198974558500
2024-04-25,234000,590430,138160620000
2024-04-26,236000,371441,87660076000
2024-04-29,239000,344677,82377803000
2024-04-30,238500,408521,97432258500
2024-05-02,233000,247321,57625793000
2024-05-03,226000,641296,144932896000
2024-05-07,223000,525423,117169329000
2024-05-08,223000,391153,87227119000
2024-05-09,220500,465377,102615628500
2024-05-10,217500,316039,68738482500
2024-05-13,210500,459634,96752957000
2024-05-14,210500,451281,94994650500
2024-05-16,216000,551906,119211696000
2024-05-17,212500,433809,92184412500
2024-05-20,213000,267962,57075906000
2024-05-21,203500,560921,114147423500
2024-05-22,204000,308921,63019884000
2024-05-23,202500,366376,74191140000
2024-05-24,196200,595244,116786872800
2024-05-27,208500,929113,193720060500
2024-05-28,198600,682776,135599313600
2024-05-29,187500,1007809,188964187500
2024-05-30,185800,751107,139555680600
2024-05-31,191300,1058322,202456998600
2024-06-03,188000,582389,109489132000
2024-06-04,191200,706551,135092551200
2024-06-05,203000,1100996,223502188000
2024-06-07,222000,1568844,348283368000
2024-06-10,215500,949785,204678667500
2024-06-11,213500,625302,133501977000
2024-06-12,209500,543357,113833291500
2024-06-13,209000,777900,162581100000
2024-06-14,200500,699689,140287644500
2024-06-17,198900,547470,108891783000
2024-06-18,191600,710704,136170886400
2024-06-19,194100,724891,140701343100
2024-06-20,188100,823551,154909943100
2024-06-21,186600,646780,120689148000
2024-06-24,182100,518734,94461461400
2024-06-25,179300,463562,83116666600
2024-06-26,178400,437439,78039117600
2024-06-27,178000,420147,74786166000
2024-06-28,183000,558335,102175305000
2024-07-01,188500,509498,96040373000
2024-07-02,182500,384792,70224540000
2024-07-03,191000,954589,182326499000
2024-07-04,189000,527747,99744183000
2024-07-05,190100,357510,67962651000
2024-07-08,198600,964629,191575319400
2024-07-09,193800,508406,98529082800
2024-07-10,189500,402279,76231870500
2024-07-11,189000,547890,103551210000
2024-07-12,195700,575362,112598343400
2024-07-15,194400,535544,104109753600
2024-07-16,183200,551866,101101851200
2024-07-17,179000,415403,74357137000
2024-07-18,182200,547368,99730449600
2024-07-19,194000,623889,121034466000
2024-07-22,181100,569845,103198929500
2024-07-23,179000,393683,70469257000
2024-07-24,178600,360681,64417626600
2024-07-25,180900,972513,175927601700
2024-07-26,174000,403715,70246410000
2024-07-29,178200,353401,62976058200
2024-07-30,187500,927485,173903437500
2024-07-31,179900,626382,112686121800
2024-08-01,185100,1167499,216104064900
2024-08-02,185900,724626,134707973400
2024-08-05,164900,1150660,189743834000
2024-08-06,181000,897262,162404422000
2024-08-07,174200,581172,101240162400
2024-08-08,166400,842757,140234764800
2024-08-09,179200,1093221,195905203200
2024-08-12,180000,374793,67462740000
2024-08-13,180400,560693,101149017200
2024-08-14,186000,562104,104551344000
2024-08-16,182100,508852,92661949200
2024-08-19,172400,621823,107202285200
2024-08-20,171600,486336,83455257600
2024-08-21,176300,779994,137512942200
2024-08-22,180900,583764,105602907600
2024-08-23,174000,622358,108290292000
2024-08-26,173800,543665,94488977000
2024-08-27,170100,614348,104500594800
2024-08-28,165100,644737,106446078700
2024-08-29,168500,525714,88582809000
2024-08-30,168300,381398,64189283400
2024-09-02,181800,1625882,295585347600
2024-09-03,174500,686180,119738410000
2024-09-04,170300,585304,99677271200
2024-09-05,167100,515241,86096771100
2024-09-06,158100,733467,115961132700
2024-09-09,151600,703185,106602846000
2024-09-10,148700,482397,71732433900
2024-09-11,153700,864741,132910691700
2024-09-12,157300,1238778,194859779400
2024-09-13,159100,521286,82936602600
2024-09-19,158100,366905,58007680500
2024-09-20,160800,506516,81447772800
2024-09-23,169400,585588,99198607200
2024-09-24,180200,1112942,200552148400
2024-09-25,178800,655475,117198930000
2024-09-26,189600,832170,157779432000
2024-09-27,190400,640252,121903980800
2024-09-30,184500,695961,128404804500
2024-10-02,190100,626291,119057919100
2024-10-04,183400,602272,110456684800
2024-10-07,192700,761883,146814854100
2024-10-08,193000,482782,93176926000
2024-10-10,186300,867580,161630154000
2024-10-11,180900,503426,91069763400
2024-10-14,175900,437477,76952204300
2024-10-15,171100,551830,94418113000
2024-10-16,169000,366010,61855690000
2024-10-17,166400,332780,55374592000
2024-10-18,163100,391228,63809286800
2024-10-21,164900,298968,49299823200
2024-10-22,156700,478346,74956818200
2024-10-23,162200,449063,72838018600
2024-10-24,156600,456927,71554768200
2024-10-25,157600,349054,55010910400
2024-10-28,172000,810783,139454676000
2024-10-29,173800,485945,84457241000
2024-10-30,170200,381830,64987466000
2024-10-31,170500,924023,157545921500
2024-11-01,169700,521486,88496174200
2024-11-04,182000,1677902,305378164000
2024-11-05,178500,428026,76402641000
2024-11-06,163100,1401358,228561489800
2024-11-07,159100,818298,130191211800
2024-11-08,160600,559098,89791138800
2024-11-11,152700,661237,100970889900
2024-11-12,152900,640626,97951715400
2024-11-13,144300,796596,114948802800
2024-11-14,135100,1117417,150963036700
2024-11-15,124500,1502075,187008337500
2024-11-18,127500,813884,103770210000
2024-11-19,128000,510489,65342592000
2024-11-20,129800,448887,58265532600
2024-11-21,132300,484977,64162457100
2024-11-22,135400,440799,59684184600
2024-11-25,141900,672828,95474293200
2024-11-26,140200,837516,117419743200
2024-11-27,135200,462950,62590840000
2024-11-28,144400,1015040,146571776000
2024-11-29,135200,603689,81618752800
2024-12-02,137500,490295,67415562500
2024-12-03,138000,400960,55332480000
2024-12-04,134100,590011,79120475100
2024-12-05,128900,368463,47494880700
2024-12-06,129400,504716,65310250400
2024-12-09,128800,605939,78044943200
