날짜,close,volume,tradingValue
2023-06-01,693155,137509,95315050895
2023-06-02,700008,158820,111175270560
2023-06-05,701966,79213,55604832758
2023-06-07,719589,233030,167685824670
2023-06-08,713715,201623,143901359445
2023-06-09,719589,154132,110911691748
2023-06-12,724484,139303,100922794652
2023-06-13,726442,149992,108960488464
2023-06-14,715673,202400,144852215200
2023-06-15,711757,179308,127623724156
2023-06-16,711757,182084,129599561588
2023-06-19,700008,168990,118294351920
2023-06-20,687281,233921,160769458801
2023-06-21,680428,191110,130036595080
2023-06-22,680428,157506,107171492568
2023-06-23,668679,190773,127565898867
2023-06-26,668679,142253,95121593787
2023-06-27,663784,166065,110231289960
2023-06-28,643224,273878,176164902672
2023-06-29,651057,230713,150207313641
2023-06-30,654973,259266,169812229818
2023-07-03,701966,349060,245028251960
2023-07-04,696092,248536,173003921312
2023-07-05,693155,132938,92146639390
2023-07-06,688260,181856,125164210560
2023-07-07,682386,137048,93519636528
2023-07-10,670637,170840,114571625080
2023-07-11,671616,115408,77509859328
2023-07-12,674553,105268,71008845204
2023-07-13,700008,287187,201033197496
2023-07-14,700987,189406,132771143722
2023-07-17,680428,202263,137625408564
2023-07-18,684344,281120,192382785280
2023-07-19,680428,305765,208051067420
2023-07-20,670637,217773,146046631401
2023-07-21,671616,167379,112414414464
2023-07-24,697071,413461,288211672731
2023-07-25,697071,290676,202621809996
2023-07-26,688260,644240,443404622400
2023-07-27,648119,572792,371237378248
2023-07-28,649099,317930,206368045070
2023-07-31,651057,405459,263976920163
2023-08-01,655952,323325,212085680400
2023-08-02,636371,284139,180817819569
2023-08-03,625602,245132,153355069464
2023-08-04,621686,143215,89034760490
2023-08-07,604063,281090,169796068670
2023-08-08,601126,221419,133100717794
2023-08-09,620707,206630,128256687410
2023-08-10,608958,147611,89888899338
2023-08-11,619728,209750,129987948000
2023-08-14,597210,221860,132497010600
2023-08-16,588398,192286,113140697828
2023-08-17,595252,193630,115258644760
2023-08-18,584482,142446,83257122972
2023-08-21,577629,126446,73038876534
2023-08-22,585461,141927,83092723347
2023-08-23,573713,191319,109762197447
2023-08-24,581545,193525,112543496125
2023-08-25,582524,118149,68824628076
2023-08-28,586440,83976,49246885440
2023-08-29,583503,103683,60499341549
2023-08-30,593294,138772,82332594968
2023-08-31,601126,224968,135234113968
2023-09-01,583503,159552,93099070656
2023-09-04,597210,128289,76615473690
2023-09-05,603084,150692,90879934128
2023-09-06,590357,143302,84599338814
2023-09-07,582524,220880,128667901120
2023-09-08,576650,174699,100740178350
2023-09-11,560986,230049,129054268314
2023-09-12,546300,369638,201933239400
2023-09-13,546300,179099,97841783700
2023-09-14,571755,316284,180836958420
2023-09-15,568818,278693,158525594874
2023-09-18,555111,218212,121131881532
2023-09-19,546300,173270,94657401000
2023-09-20,551195,181975,100303710125
2023-09-21,526719,269554,141979213326
2023-09-22,521824,271908,141888120192
2023-09-25,510076,259406,132316774856
2023-09-26,511055,201982,103223911010
2023-09-27,501264,314964,157880114496
2023-10-04,474341,664979,315426803839
2023-10-05,478747,328389,157215248583
2023-10-06,470914,232976,109711660064
2023-10-10,479726,285116,136777558216
2023-10-11,500285,342118,171156503630
2023-10-12,523782,341247,178739036154
2023-10-13,514971,169097,87080051187
2023-10-16,503223,149145,75053194335
2023-10-17,513013,173832,89178075816
2023-10-18,501264,145235,72801077040
2023-10-19,483642,319201,154379010042
2023-10-20,469935,278186,130729337910
2023-10-23,464061,379522,176121358842
2023-10-24,469935,367665,172778651775
2023-10-25,436159,601595,262391073605
2023-10-26,414131,806749,334099770119
2023-10-27,442523,570013,252243862799
2023-10-30,442523,500826,221627023998
2023-10-31,416578,467908,194920178824
2023-11-01,416578,397696,165671404288
2023-11-02,441543,455349,201056163507
2023-11-03,444481,330211,146772515491
2023-11-06,495390,1000926,495848731140
2023-11-07,456229,656604,299561786316
2023-11-08,440564,388454,171138848056
2023-11-09,430285,361629,155603534265
2023-11-10,411193,396055,162855043615
2023-11-13,408256,283487,115735268672
2023-11-14,425879,381814,162606564506
2023-11-15,439096,393873,172948058808
2023-11-16,445460,248641,110759619860
2023-11-17,434690,220876,96012588440
2023-11-20,450844,242820,109473940080
2023-11-21,456229,312352,142504040608
2023-11-22,461614,218809,101005297726
2023-11-23,465040,195599,90961358960
2023-11-24,453292,256259,116160154628
2023-11-27,443991,211053,93705632523
2023-11-28,445460,224437,99977706020
2023-11-29,461614,251235,115973593290
2023-11-30,462103,391324,180831994372
2023-12-01,437627,445708,195053854916
2023-12-04,430285,482073,207428780805
2023-12-05,434690,197378,85798242820
2023-12-06,424410,357507,151729545870
2023-12-07,434201,274324,119111755124
2023-12-08,440564,224967,99112361388
2023-12-11,436648,312519,136460796312
2023-12-12,436159,239635,104518961965
2023-12-13,420494,317809,133636777646
2023-12-14,439096,495187,217434630952
2023-12-15,443012,488835,216559771020
2023-12-18,442033,219252,96916619316
2023-12-19,441054,218191,96234013314
2023-12-20,452313,315604,142751792052
2023-12-21,441543,248496,109721669328
2023-12-22,441054,170208,75070919232
2023-12-26,437627,144205,63108001535
2023-12-27,445949,176842,78862513058
2023-12-28,462103,307495,142094361985
2024-01-02,457208,199396,91165446368
2024-01-03,437138,357754,156387868052
2024-01-04,435669,206193,89831898117
2024-01-05,435669,176653,76962235857
2024-01-08,426858,218516,93275302728
2024-01-09,422942,215194,91014580748
2024-01-10,407767,574394,234218918198
2024-01-11,407767,338326,137958178042
2024-01-12,399445,377272,150699414040
2024-01-15,391613,345145,135163268885
2024-01-16,386718,319389,123513475302
2024-01-17,371053,522710,193953113630
2024-01-18,368605,487846,179822474830
2024-01-19,366158,336322,123146990876
2024-01-22,350493,584009,204691066437
2024-01-23,350983,544512,191114455296
2024-01-24,346577,530821,183970349717
2024-01-25,340214,445674,151624534236
2024-01-26,352941,609969,215283068829
2024-01-29,371053,569232,211215241296
2024-01-30,366647,536075,196550290525
2024-01-31,364689,360227,131370824403
2024-02-01,369585,311808,115239559680
2024-02-02,384760,388517,149485800920
2024-02-05,378885,334205,126625261425
2024-02-06,366158,356291,130458799978
2024-02-07,373990,464025,173540709750
2024-02-08,376927,376113,141767144751
2024-02-13,382801,258982,99138568582
2024-02-14,378396,210153,79521054588
2024-02-15,377906,264000,99767184000
2024-02-16,396018,532406,210842359308
2024-02-19,386228,354173,136791529444
2024-02-20,386718,236483,91452232794
2024-02-21,391613,181919,71241845347
2024-02-22,386718,208560,80653906080
2024-02-23,380354,244399,92958137246
2024-02-26,382801,186920,71553162920
2024-02-27,373011,266562,99430558182
2024-02-28,373501,195383,72975745883
2024-02-29,369095,251400,92790483000
2024-03-04,366647,308703,113185028841
2024-03-05,358815,303089,108752879535
2024-03-06,356857,225081,80321730417
2024-03-07,403361,1809774,729992250414
2024-03-08,417068,1802291,751677902788
2024-03-11,404830,545371,220782541930
2024-03-12,449865,1501551,675495240615
2024-03-13,449865,1083378,487373843970
2024-03-14,436648,816906,356700371088
2024-03-15,416089,802005,333705458445
