날짜,close,volume,tradingValue
2023-06-01,46800,1985923,92941196400
2023-06-02,47450,1151593,54643087850
2023-06-05,48550,1567190,76087074500
2023-06-07,48400,1483010,71777684000
2023-06-08,48450,1865047,90361527150
2023-06-09,49450,1606416,79437271200
2023-06-12,48750,733154,35741257500
2023-06-13,48500,895510,43432235000
2023-06-14,48550,1010571,49063222050
2023-06-15,48200,960450,46293690000
2023-06-16,48300,1233079,59557715700
2023-06-19,48150,590340,28424871000
2023-06-20,47850,669083,32015621550
2023-06-21,46900,1371773,64336153700
2023-06-22,47800,709962,33936183600
2023-06-23,46950,805606,37823201700
2023-06-26,47200,699859,33033344800
2023-06-27,47550,937079,44558106450
2023-06-28,48150,909024,43769505600
2023-06-29,47100,872642,41101438200
2023-06-30,47750,1020166,48712926500
2023-07-03,48650,1105458,53780531700
2023-07-04,48400,613663,29701289200
2023-07-05,47750,933765,44587278750
2023-07-06,46700,1489332,69551804400
2023-07-07,46500,1061756,49371654000
2023-07-10,46750,930420,43497135000
2023-07-11,47250,1132079,53490732750
2023-07-12,47000,1313810,61749070000
2023-07-13,47100,1915048,90198760800
2023-07-14,48750,1965274,95807107500
2023-07-17,48650,808557,39336298050
2023-07-18,48150,717417,34543628550
2023-07-19,48150,898593,43267252950
2023-07-20,48200,810139,39048699800
2023-07-21,48650,936248,45548465200
2023-07-24,47650,767940,36592341000
2023-07-25,47650,879405,41903648250
2023-07-26,49600,2410506,119561097600
2023-07-27,51700,2618613,135382292100
2023-07-28,51100,1335774,68258051400
2023-07-31,51000,1071531,54648081000
2023-08-01,52800,1513444,79909843200
2023-08-02,52600,1950519,102597299400
2023-08-03,51200,1341093,68663961600
2023-08-04,52000,1029509,53534468000
2023-08-07,51200,946979,48485324800
2023-08-08,51800,915314,47413265200
2023-08-09,50800,939669,47735185200
2023-08-10,51400,666944,34280921600
2023-08-11,51600,894788,46171060800
2023-08-14,51600,580501,29953851600
2023-08-16,51000,828525,42254775000
2023-08-17,51800,1160362,60106751600
2023-08-18,52000,925427,48122204000
2023-08-21,51800,765929,39675122200
2023-08-22,52200,737242,38484032400
2023-08-23,52600,885940,46600444000
2023-08-24,53200,682104,36287932800
2023-08-25,52500,783773,41148082500
2023-08-28,52600,464129,24413185400
2023-08-29,52900,587541,31080918900
2023-08-30,52600,488895,25715877000
2023-08-31,54100,1981012,107172749200
2023-09-01,53600,639617,34283471200
2023-09-04,54000,605267,32684418000
2023-09-05,53900,553166,29815647400
2023-09-06,54300,584034,31713046200
2023-09-07,54200,554843,30072490600
2023-09-08,54100,400734,21679709400
2023-09-11,55200,990651,54683935200
2023-09-12,54800,660569,36199181200
2023-09-13,55500,903843,50163286500
2023-09-14,56100,1039824,58334126400
2023-09-15,57300,2254377,129175802100
2023-09-18,57200,1193896,68290851200
2023-09-19,56200,609231,34238782200
2023-09-20,56800,660316,37505948800
2023-09-21,57300,912277,52273472100
2023-09-22,57500,833696,47937520000
2023-09-25,57400,843047,48390897800
2023-09-26,55700,1368399,76219824300
2023-09-27,55300,1302149,72008839700
2023-10-04,54700,2072789,113381558300
2023-10-05,53600,782085,41919756000
2023-10-06,55800,658127,36723486600
2023-10-10,56600,1155125,65380075000
2023-10-11,55600,1518786,84444501600
2023-10-12,56500,1221555,69017857500
2023-10-13,56600,678506,38403439600
2023-10-16,56600,811723,45943521800
2023-10-17,56400,684765,38620746000
2023-10-18,57700,1194703,68934363100
2023-10-19,57200,807489,46188370800
2023-10-20,56800,714976,40610636800
2023-10-23,55200,897070,49518264000
2023-10-24,55600,847885,47142406000
2023-10-25,54400,1059919,57659593600
2023-10-26,53300,978880,52174304000
2023-10-27,52500,1147240,60230100000
2023-10-30,51100,1159751,59263276100
2023-10-31,51500,1419713,73115219500
2023-11-01,51300,830942,42627324600
2023-11-02,51000,834704,42569904000
2023-11-03,52600,730337,38415726200
2023-11-06,55700,1130725,62981382500
2023-11-07,52300,1335460,69844558000
2023-11-08,52100,829548,43219450800
2023-11-09,53400,1423056,75991190400
2023-11-10,53500,611038,32690533000
2023-11-13,52900,593164,31378375600
2023-11-14,53500,766748,41021018000
2023-11-15,54600,1157012,63172855200
2023-11-16,54300,580108,31499864400
2023-11-17,54600,470739,25702349400
2023-11-20,53900,703966,37943767400
2023-11-21,54100,921302,49842438200
2023-11-22,54500,573536,31257712000
2023-11-23,54300,907567,49280888100
2023-11-24,53700,469824,25229548800
2023-11-27,52400,1286094,67391325600
2023-11-28,52400,1415178,74155327200
2023-11-29,51700,1022798,52878656600
2023-11-30,52400,1465252,76779204800
2023-12-01,51900,453496,23536442400
2023-12-04,51500,574587,29591230500
2023-12-05,51500,676977,34864315500
2023-12-06,52000,720118,37446136000
2023-12-07,51400,658776,33861086400
2023-12-08,51800,609937,31594736600
2023-12-11,51600,611980,31578168000
2023-12-12,52100,877118,45697847800
2023-12-13,51500,859580,44268370000
2023-12-14,51900,1733967,89992887300
2023-12-15,53200,1396078,74271349600
2023-12-18,52500,522284,27419910000
2023-12-19,52000,698259,36309468000
2023-12-20,53200,1349165,71775578000
2023-12-21,53100,679181,36064511100
2023-12-22,52500,771841,40521652500
2023-12-26,52500,1042708,54742170000
2023-12-27,52300,744008,38911618400
2023-12-28,54100,1211536,65544097600
2024-01-02,53600,811158,43478068800
2024-01-03,52600,689245,36254287000
2024-01-04,51700,755382,39053249400
2024-01-05,51300,569782,29229816600
2024-01-08,52200,539904,28182988800
2024-01-09,52400,470134,24635021600
2024-01-10,51300,4539715,232887379500
2024-01-11,51000,1704375,86923125000
2024-01-12,51000,1169346,59636646000
2024-01-15,51600,708782,36573151200
2024-01-16,51100,736825,37651757500
2024-01-17,49800,1340792,66771441600
2024-01-18,49400,873664,43159001600
2024-01-19,49500,860502,42594849000
2024-01-22,49300,1063329,52422119700
2024-01-23,51400,1800015,92520771000
2024-01-24,52100,1825246,95095316600
2024-01-25,52900,1478934,78235608600
2024-01-26,53800,1997168,107447638400
2024-01-29,55600,2107798,117193568800
2024-01-30,55900,1842740,103009166000
2024-01-31,56600,1343293,76030383800
2024-02-01,61300,4269503,261720533900
2024-02-02,66300,5492430,364148109000
2024-02-05,62700,4587829,287656878300
2024-02-06,63100,2056719,129778968900
2024-02-07,64700,2483851,160705159700
2024-02-08,67600,2402421,162403659600
2024-02-13,69700,2716168,189316909600
2024-02-14,67300,1484617,99914724100
2024-02-15,65100,7779512,506446231200
2024-02-16,67700,2072109,140281779300
2024-02-19,68800,1838345,126478136000
2024-02-20,67900,1717155,116594824500
2024-02-21,65100,2802649,182452449900
2024-02-22,64900,2438017,158227303300
2024-02-23,65800,1813624,119336459200
2024-02-26,62500,2648251,165515687500
2024-02-27,62400,1643919,102580545600
2024-02-28,62300,1588795,98981928500
2024-02-29,63500,3356139,213114826500
2024-03-04,69000,4010440,276720360000
2024-03-05,69500,3649003,253605708500
2024-03-06,69800,1954067,136393876600
2024-03-07,71200,2090836,148867523200
2024-03-08,70900,1777459,126021843100
2024-03-11,70700,1416572,100151640400
2024-03-12,73200,2220086,162510295200
2024-03-13,77500,3013824,233571360000
2024-03-14,78600,2287531,179799936600
2024-03-15,76200,4331136,330032563200
2024-03-18,74400,2045651,152196434400
2024-03-19,72500,1542773,111851042500
2024-03-20,73800,2289677,168978162600
2024-03-21,76100,1926427,146601094700
2024-03-22,74900,1244910,93243759000
2024-03-25,72000,2053367,147842424000
2024-03-26,71800,1711871,122912337800
2024-03-27,69000,2106983,145381827000
2024-03-28,70300,1618747,113797914100
2024-03-29,69500,1004163,69789328500
2024-04-01,68400,739530,50583852000
2024-04-02,68900,1333450,91874705000
2024-04-03,67300,1515589,101999139700
2024-04-04,69500,1134908,78876106000
2024-04-05,69100,859793,59411696300
2024-04-08,69300,813994,56409784200
2024-04-09,69100,718818,49670323800
2024-04-11,68300,2899225,198017067500
2024-04-12,66300,1761052,116757747600
2024-04-15,66200,1368363,90585630600
2024-04-16,64400,1391662,89623032800
2024-04-17,63100,1023648,64592188800
2024-04-18,64000,1298020,83073280000
2024-04-19,63700,973239,61995324300
2024-04-22,69500,1586956,110293442000
2024-04-23,70200,2285085,160412967000
2024-04-24,68900,997947,68758548300
2024-04-25,69300,745906,51691285800
2024-04-26,76000,2421484,184032784000
2024-04-29,76600,1741772,133419735200
2024-04-30,75600,1776194,134280266400
2024-05-02,72300,1513058,109394093400
2024-05-03,73700,934829,68896897300
2024-05-07,73900,1154827,85341715300
2024-05-08,77700,1562656,121418371200
2024-05-09,76600,1476710,113115986000
2024-05-10,79300,1559192,123643925600
2024-05-13,81600,1874188,152933740800
2024-05-14,79600,1337168,106438572800
2024-05-16,81000,2083221,168740901000
2024-05-17,80100,1221504,97842470400
2024-05-20,81600,1065223,86922196800
2024-05-21,81600,716670,58480272000
2024-05-22,79100,917205,72550915500
2024-05-23,77300,925094,71509766200
2024-05-24,76900,925189,71147034100
2024-05-27,76300,929166,70895365800
2024-05-28,77100,832984,64223066400
2024-05-29,78100,1356462,105939682200
2024-05-30,78700,1263670,99450829000
2024-05-31,79400,3330077,264408113800
2024-06-03,79300,769784,61043871200
2024-06-04,77600,1025937,79612711200
2024-06-05,77400,807918,62532853200
2024-06-07,79600,1168578,93018808800
2024-06-10,78400,679182,53247868800
2024-06-11,78400,753820,59099488000
2024-06-12,79100,694678,54949029800
2024-06-13,81000,2214075,179340075000
2024-06-14,80900,1578329,127686816100
2024-06-17,78300,955490,74814867000
2024-06-18,77400,1034489,80069448600
