날짜,close,volume,tradingValue
2024-06-03,164671,336771,55456417341
2024-06-04,173043,1403573,242878482639
2024-06-05,175066,967583,169390885478
2024-06-07,175802,537134,94429231468
2024-06-10,174330,588992,102678975360
2024-06-11,177182,852443,151037555626
2024-06-12,172583,999037,172416802571
2024-06-13,167983,1580539,265503682837
2024-06-14,168719,1094041,184585503479
2024-06-17,165407,657553,108763869071
2024-06-18,164763,496590,81819658170
2024-06-19,168719,508449,85785006831
2024-06-20,165683,401314,66490907462
2024-06-21,162923,1666486,271508898578
2024-06-24,164671,407995,67184944645
2024-06-25,164119,395070,64838493330
2024-06-26,162648,446212,72575489376
2024-06-27,159887,540979,86495509373
2024-06-28,160347,360183,57754263501
2024-07-01,169363,1142027,193417118801
2024-07-02,169731,802621,136229664951
2024-07-03,167247,499110,83474650170
2024-07-04,168259,427436,71919953924
2024-07-05,170926,786735,134473466610
2024-07-08,168719,446430,75321223170
2024-07-09,172215,649584,111868108560
2024-07-10,169915,522991,88864015765
2024-07-11,170926,563047,96239371522
2024-07-12,173687,920167,159821045729
2024-07-15,173595,582027,101036977065
2024-07-16,173595,578679,100455781005
2024-07-17,177091,1100838,194948502258
2024-07-18,172859,698101,120673040759
2024-07-19,172859,435253,75237398327
2024-07-22,177734,1541849,274038990166
2024-07-23,174055,748612,130299661660
2024-07-24,177918,1017103,180960931554
2024-07-25,183255,2349756,430604535780
2024-07-26,183990,1132261,208324701390
2024-07-29,192270,1420989,273213555030
2024-07-30,192270,1134389,218108973030
2024-07-31,188130,1111577,209120981010
2024-08-01,183990,979909,180293456910
2024-08-02,178102,1124582,200290303364
2024-08-05,167891,2157466,362219124206
2024-08-06,167431,1835970,307398293070
2024-08-07,181231,3944651,714893045381
2024-08-08,180035,1485764,267489521740
2024-08-09,180310,1210599,218283105690
2024-08-12,183990,1038943,191155122570
2024-08-13,177275,1071347,189923039425
2024-08-14,179022,735967,131754284274
2024-08-16,181415,1024892,185930782180
2024-08-19,181783,608861,110680579163
2024-08-20,180494,533054,96213048676
2024-08-21,183807,886686,162979093602
2024-08-22,186291,866134,161352968994
2024-08-23,186291,637296,118722509136
2024-08-26,188590,671766,126688349940
2024-08-27,184450,760063,140193620350
2024-08-28,185370,732527,135788529990
2024-08-29,183071,565165,103465321715
2024-08-30,186750,824014,153884614500
2024-09-02,181322,855137,155055151114
2024-09-03,181231,421898,76460996438
2024-09-04,174975,836835,146425204125
2024-09-05,172951,695481,120284134431
2024-09-06,175895,718715,126418374925
2024-09-09,176723,434118,76718635314
2024-09-10,180126,596906,107518290156
2024-09-11,175434,636553,111673039002
2024-09-12,179942,717713,129146712646
2024-09-13,179574,317512,57016899888
2024-09-19,185370,820781,152148173970
2024-09-20,185370,806821,149560408770
2024-09-23,188590,904968,170667915120
2024-09-24,189050,523264,98923059200
2024-09-25,183990,689597,126878952030
2024-09-26,185830,597982,111122995060
2024-09-27,179206,1015640,182008781840
2024-09-30,179758,578565,104001687270
2024-10-02,175711,509634,89548299774
2024-10-04,177275,516273,91522296075
2024-10-07,178011,395893,70473308823
2024-10-08,175895,530359,93287496305
2024-10-10,178747,765840,136891602480
2024-10-11,181506,525664,95411169984
2024-10-14,180126,474388,85449612888
2024-10-15,184450,721928,133159619600
2024-10-16,180126,678100,122143440600
2024-10-17,173778,1270013,220700319114
2024-10-18,173319,641394,111165766686
2024-10-21,176355,481088,84842274240
2024-10-22,172491,606164,104557834524
2024-10-23,170835,612500,104636437500
2024-10-24,171019,359918,61552816442
2024-10-25,171479,638534,109495171786
2024-10-28,172675,376418,64997978150
2024-10-29,173962,385938,67138546356
2024-10-30,172675,331835,57299608625
2024-10-31,167891,574568,96464796088
2024-11-01,166604,362874,60456259896
2024-11-04,172399,472992,81543347808
2024-11-05,169639,294688,49990577632
2024-11-06,170007,518082,88077566574
2024-11-07,165775,654616,108518967400
2024-11-08,166971,468653,78251460063
2024-11-11,160163,1092176,174926184688
2024-11-12,152620,1210711,184778712820
2024-11-13,151976,710702,108009647152
2024-11-14,153080,650010,99503530800
2024-11-15,152160,656267,99857586720
2024-11-18,158783,644412,102321670596
2024-11-19,158783,427140,67822570620
2024-11-20,157679,368911,58169517569
2024-11-21,159796,670507,107144336572
2024-11-22,159612,378098,60348977976
2024-11-25,162648,712601,115903127448
2024-11-26,161544,320686,51804899184
2024-11-27,163567,404832,66217155744
2024-11-28,171479,963410,165204583390
