날짜,close,volume,tradingValue
2024-06-03,120700,906152,109372546400
2024-06-04,119000,820199,97603681000
2024-06-05,119500,1068743,127714788500
2024-06-07,121100,976721,118280913100
2024-06-10,121400,970865,117863011000
2024-06-11,122000,1214447,148162534000
2024-06-12,122500,970708,118911730000
2024-06-13,121700,2186257,266067476900
2024-06-14,122700,1278973,156929987100
2024-06-17,129100,2654199,342657090900
2024-06-18,131000,2632809,344897979000
2024-06-19,132300,1606458,212534393400
2024-06-20,130600,1110575,145041095000
2024-06-21,127900,1680099,214884662100
2024-06-24,128300,712382,91398610600
2024-06-25,129000,1100760,141998040000
2024-06-26,130800,1219468,159506414400
2024-06-27,131500,901065,118490047500
2024-06-28,129300,1026360,132708348000
2024-07-01,128600,659327,84789452200
2024-07-02,123600,1369592,169281571200
2024-07-03,123700,1035953,128147386100
2024-07-04,125600,793881,99711453600
2024-07-05,126300,805600,101747280000
2024-07-08,124200,999050,124082010000
2024-07-09,122500,1662846,203698635000
2024-07-10,122000,1118813,136495186000
2024-07-11,122300,998099,122067507700
2024-07-12,121300,863955,104797741500
2024-07-15,120000,669497,80339640000
2024-07-16,122900,891422,109555763800
2024-07-17,121000,944338,114264898000
2024-07-18,119900,864546,103659065400
2024-07-19,116300,1498610,174288343000
2024-07-22,115900,968117,112204760300
2024-07-23,120500,1194748,143967134000
2024-07-24,118400,689203,81601635200
2024-07-25,115000,1138700,130950500000
2024-07-26,112100,1582067,177349710700
2024-07-29,113700,1192545,135592366500
2024-07-30,111600,765612,85442299200
2024-07-31,112100,882651,98945177100
2024-08-01,112100,615829,69034430900
2024-08-02,107100,1332881,142751555100
2024-08-05,96300,2493835,240156310500
2024-08-06,102700,1867054,191746445800
2024-08-07,101600,1475882,149949611200
2024-08-08,101600,1074481,109167269600
2024-08-09,101900,1080152,110067488800
2024-08-12,102100,639297,65272223700
2024-08-13,102800,727338,74770346400
2024-08-14,102300,713158,72956063400
2024-08-16,105900,1467142,155370337800
2024-08-19,103200,806135,83193132000
2024-08-20,103400,895891,92635129400
2024-08-21,103000,566956,58396468000
2024-08-22,102400,458855,46986752000
2024-08-23,104000,680599,70782296000
2024-08-26,102800,538340,55341352000
2024-08-27,101800,657152,66898073600
2024-08-28,104600,827919,86600327400
2024-08-29,106600,1623481,173063074600
2024-08-30,106100,3386834,359343087400
2024-09-02,106100,1014420,107629962000
2024-09-03,102200,1021486,104395869200
2024-09-04,100200,1394527,139731605400
2024-09-05,100700,1103725,111145107500
2024-09-06,100000,1130536,113053600000
2024-09-09,100800,665413,67073630400
2024-09-10,100200,709669,71108833800
2024-09-11,96200,1788449,172048793800
2024-09-12,99100,1965672,194798095200
2024-09-13,100500,1051359,105661579500
2024-09-19,103500,1700541,176005993500
2024-09-20,105600,1898045,200433552000
2024-09-23,103200,758934,78321988800
2024-09-24,103800,1004487,104265750600
2024-09-25,102800,873655,89811734000
2024-09-26,104900,954693,100147295700
2024-09-27,104800,1180495,123715876000
2024-09-30,99900,1408649,140724035100
2024-10-02,98700,947817,93549537900
2024-10-04,98000,953289,93422322000
2024-10-07,100400,747649,75063959600
2024-10-08,99600,953986,95017005600
2024-10-10,100800,1347031,135780724800
2024-10-11,101100,586806,59326086600
2024-10-14,100600,512895,51597237000
2024-10-15,99700,742330,74010301000
2024-10-16,97800,1442581,141084421800
2024-10-17,95200,2337274,222508484800
2024-10-18,95100,954041,90729299100
2024-10-21,95000,887808,84341760000
2024-10-22,92500,2094323,193724877500
2024-10-23,93000,2096814,195003702000
2024-10-24,90900,2432361,221101614900
2024-10-25,92700,2070730,191956671000
2024-10-28,95500,1990596,190101918000
2024-10-29,93700,1032980,96790226000
2024-10-30,94100,1288804,121276456400
2024-10-31,91900,1497645,137633575500
2024-11-01,94300,1273159,120058893700
2024-11-04,97400,1455797,141794627800
2024-11-05,97000,853795,82818115000
2024-11-06,95000,1201388,114131860000
2024-11-07,94000,1538830,144650020000
2024-11-08,93000,954617,88779381000
2024-11-11,94600,952667,90122298200
2024-11-12,91900,1029314,94593956600
2024-11-13,90800,930142,84456893600
2024-11-14,92500,1308730,121057525000
2024-11-15,91600,1000774,91670898400
2024-11-18,96700,1258964,121741818800
2024-11-19,95300,791662,75445388600
2024-11-20,98100,1315123,129013566300
2024-11-21,97600,877875,85680600000
2024-11-22,97800,625998,61222604400
2024-11-25,97200,1490846,144910231200
2024-11-26,97300,824826,80255569800
2024-11-27,94300,1316143,124112284900
2024-11-28,95000,667018,63366710000
2024-11-29,92900,1137504,105674121600
2024-12-02,94200,856300,80663460000
2024-12-03,98000,1269834,124443732000
2024-12-04,98100,1718985,168632428500
2024-12-05,94000,1047065,98424110000
2024-12-06,94800,974415,92374542000
2024-12-09,92000,1163885,107077420000
2024-12-10,95800,1426079,136618368200
2024-12-11,96500,891106,85991729000
2024-12-12,97200,1672208,162538617600
2024-12-13,98100,784619,76971123900
2024-12-16,95300,977937,93197396100
2024-12-17,95700,1015342,97168229400
2024-12-18,101800,2225773,226583691400
2024-12-19,100600,1674120,168416472000
2024-12-20,101200,1253819,126886482800
2024-12-23,100900,778490,78549641000
2024-12-24,100600,588138,59166682800
2024-12-26,102900,912601,93906642900
2024-12-27,100900,607220,61268498000
2024-12-30,100700,704616,70954831200
2025-01-02,101600,712616,72401785600
2025-01-03,100700,1015616,102272531200
2025-01-06,100500,784082,78800241000
2025-01-07,99100,1128286,111813142600
2025-01-08,101000,1058728,106931528000
2025-01-09,103300,2359171,243702364300
2025-01-10,105600,1951844,206114726400
2025-01-13,105400,1130422,119146478800
2025-01-14,106700,1300498,138763136600
2025-01-15,103300,1177799,121666636700
2025-01-16,103400,654359,67660720600
2025-01-17,101500,919480,93327220000
2025-01-20,101000,411505,41562005000
2025-01-21,101000,1033495,104382995000
2025-01-22,103000,856499,88219397000
2025-01-23,102700,730474,75019679800
2025-01-24,101700,1296839,131888526300
2025-01-31,102000,909716,92791032000
2025-02-03,96100,2040413,196083689300
2025-02-04,96700,1255891,121444659700
