날짜,close,volume,tradingValue
2024-06-03,75700,15706268,1188964487600
2024-06-04,75300,14098053,1061583390900
2024-06-05,77400,23177968,1793974723200
2024-06-07,77300,21189349,1637936677700
2024-06-10,75700,14598755,1105125753500
2024-06-11,75200,16971175,1276232360000
2024-06-12,76500,19246725,1472374462500
2024-06-13,78600,33763804,2653834994400
2024-06-14,79600,22926612,1824958315200
2024-06-17,78100,16123051,1259210283100
2024-06-18,79800,18207598,1452966320400
2024-06-19,81200,24168863,1962511675600
2024-06-20,81600,20288913,1655575300800
2024-06-21,80000,17907523,1432601840000
2024-06-24,80600,15454227,1245610696200
2024-06-25,80800,19088458,1542347406400
2024-06-26,81300,17783242,1445777574600
2024-06-27,81600,11739720,957961152000
2024-06-28,81500,9455929,770658213500
2024-07-01,81800,11317202,925747123600
2024-07-02,81800,14471904,1183801747200
2024-07-03,81800,11440328,935818830400
2024-07-04,84600,43857229,3710321573400
2024-07-05,87100,45791193,3988412910300
2024-07-08,87400,24035809,2100729706600
2024-07-09,87800,21336201,1873318447800
2024-07-10,87800,17813847,1564055766600
2024-07-11,87600,24677608,2161758460800
2024-07-12,84400,26344386,2223466178400
2024-07-15,86700,25193080,2184240036000
2024-07-16,87700,16166688,1417818537600
2024-07-17,86700,18186490,1576768683000
2024-07-18,86900,24721790,2148323551000
2024-07-19,84400,18569122,1567233896800
2024-07-22,83000,18987560,1575967480000
2024-07-23,83900,15766389,1322800037100
2024-07-24,82000,16939083,1389004806000
2024-07-25,80400,20323811,1634034404400
2024-07-26,80900,14508334,1173724220600
2024-07-29,81200,12797136,1039127443200
2024-07-30,81000,13169636,1066740516000
2024-07-31,83900,20744323,1740448699700
2024-08-01,83100,20900338,1736818087800
2024-08-02,79600,25800275,2053701890000
2024-08-05,71400,54608790,3899067606000
2024-08-06,72500,47295226,3428903885000
2024-08-07,74700,32710428,2443468971600
2024-08-08,73400,28414729,2085641108600
2024-08-09,74700,16388222,1224200183400
2024-08-12,75500,9839259,742864054500
2024-08-13,76100,10716261,815507462100
2024-08-14,77200,13246168,1022604169600
2024-08-16,80200,22061478,1769330535600
2024-08-19,78300,14146565,1107676039500
2024-08-20,78900,10683836,842954660400
2024-08-21,78300,7805598,611178323400
2024-08-22,78300,8149101,638074608300
2024-08-23,77700,9420306,731957776200
2024-08-26,76100,15655938,1191416881800
2024-08-27,75800,11130145,843664991000
2024-08-28,76400,9794514,748300869600
2024-08-29,74000,16884479,1249451446000
2024-08-30,74300,16358520,1215438036000
2024-09-02,74400,12641376,940518374400
2024-09-03,72500,16314599,1182808427500
2024-09-04,70000,27366563,1915659410000
2024-09-05,69000,25686769,1772387061000
2024-09-06,68900,19022299,1310636401100
2024-09-09,67500,23263298,1570272615000
2024-09-10,66200,30651376,2029121091200
2024-09-11,64900,35809707,2324049984300
2024-09-12,66300,35884106,2379116227800
2024-09-13,64400,25045135,1612906694000
2024-09-19,63100,49402713,3117311190300
2024-09-20,63000,32746056,2063001528000
2024-09-23,62600,28542376,1786752737600
2024-09-24,63200,26957500,1703714000000
2024-09-25,62200,28652438,1782181643600
2024-09-26,64700,37566015,2430521170500
2024-09-27,64200,28433030,1825400526000
2024-09-30,61500,32694163,2010691024500
2024-10-02,61300,28473536,1745427756800
2024-10-04,60600,24247578,1469403226800
2024-10-07,61000,35066533,2139058513000
2024-10-08,60300,27411786,1652930695800
2024-10-10,58900,45262214,2665944404600
2024-10-11,59300,29623969,1756701361700
2024-10-14,60800,20886249,1269883939200
2024-10-15,61000,22715239,1385629579000
2024-10-16,59500,23303268,1386544446000
2024-10-17,59700,23372873,1395360518100
2024-10-18,59200,14420260,853679392000
2024-10-21,59000,18514905,1092379395000
2024-10-22,57700,27582527,1591511807900
2024-10-23,59100,27300780,1613476098000
2024-10-24,56600,31499922,1782895585200
2024-10-25,55900,25829315,1443858708500
2024-10-28,58100,27775009,1613728022900
2024-10-29,59600,28369314,1690811114400
2024-10-30,59100,19838511,1172456000100
2024-10-31,59200,35809196,2119904403200
2024-11-01,58300,19083180,1112549394000
2024-11-04,58700,15586947,914953788900
2024-11-05,57600,17484474,1007105702400
2024-11-06,57300,22092218,1265884091400
2024-11-07,57500,17043102,979978365000
2024-11-08,57000,13877396,791011572000
2024-11-11,55000,29811326,1639622930000
2024-11-12,53000,37962881,2012032693000
2024-11-13,50600,52527995,2657916547000
2024-11-14,49900,48510715,2420684678500
2024-11-15,53500,46774485,2502434947500
2024-11-18,56700,48095234,2726999767800
2024-11-19,56300,31539632,1775681281600
2024-11-20,55300,20864667,1153816085100
2024-11-21,56400,19096850,1077062340000
2024-11-22,56000,15281543,855766408000
2024-11-25,57900,36237325,2098141117500
2024-11-26,58300,23209405,1353108311500
2024-11-27,56300,21808387,1227812188100
2024-11-28,55500,20001134,1110062937000
2024-11-29,54200,24513531,1328633380200
2024-12-02,53600,22044867,1181604871200
2024-12-03,53600,23374603,1252878720800
2024-12-04,53100,29004766,1540153074600
2024-12-05,53700,23588277,1266690474900
2024-12-06,54100,22861874,1236827383400
2024-12-09,53400,26227680,1400558112000
2024-12-10,54000,20783970,1122334380000
2024-12-11,54000,14565947,786561138000
2024-12-12,55900,33476698,1871347418200
2024-12-13,56100,15908823,892484970300
2024-12-16,55600,15277277,849416601200
2024-12-17,54200,20215230,1095665466000
2024-12-18,54900,13698937,752071641300
2024-12-19,53100,22481925,1193790217500
2024-12-20,53000,24674774,1307763022000
2024-12-23,53500,13672650,731486775000
2024-12-24,54400,11634677,632926428800
2024-12-26,53600,10517075,563715220000
2024-12-27,53700,10747196,577124425200
2024-12-30,53200,12624702,671634146400
2025-01-02,53400,16630538,888070729200
2025-01-03,54400,19318046,1050901702400
2025-01-06,55900,19034284,1064016475600
2025-01-07,55400,17030235,943475019000
2025-01-08,57300,26593553,1523810586900
2025-01-09,56100,24490592,1373922211200
2025-01-10,55300,16059223,888075031900
2025-01-13,54100,16868600,912591260000
2025-01-14,53900,17465926,941413411400
2025-01-15,53700,18625025,1000163842500
2025-01-16,54300,18627298,1011462281400
2025-01-17,53700,18805344,1009846972800
2025-01-20,53400,11822531,631323155400
2025-01-21,53500,13535702,724160057000
2025-01-22,54300,18341991,995970111300
2025-01-23,53700,15588067,837079197900
2025-01-24,53700,11867631,637291784700
2025-01-31,52400,42186279,2210561019600
2025-02-03,51000,32344897,1649589747000
2025-02-04,52700,27214851,1434222647700
2025-02-05,52900,15974885,845071416500
2025-02-06,54000,16466025,889165350000
2025-02-07,53700,14476866,777407704200
2025-02-10,55600,27577591,1533314059600
2025-02-11,55700,24596196,1370008117200
2025-02-12,55800,26428596,1474715656800
2025-02-13,55800,22448377,1252619436600
2025-02-14,56000,23979779,1342867624000
2025-02-17,56000,11916027,667297512000
2025-02-18,56900,22131007,1259254298300
2025-02-19,58700,25395151,1490695363700
2025-02-20,58400,21589059,1260801045600
2025-02-21,58200,22198428,1291948509600
2025-02-24,57300,14138471,810134388300
2025-02-25,57200,14625181,836560353200
2025-02-26,56600,18117091,1025427350600
2025-02-27,56300,14975356,843112542800
2025-02-28,54500,28036698,1528000041000
2025-03-04,54500,18553933,1011189348500
2025-03-05,54000,16578817,895256118000
2025-03-06,54300,12258101,665614884300
2025-03-07,53700,14274992,766567070400
2025-03-10,53700,12921670,693893679000
2025-03-11,53600,17740891,950911757600
2025-03-12,54900,17973221,986729832900
2025-03-13,54700,24132151,1320028659700
2025-03-14,54700,10845154,593229923800
2025-03-17,57600,35559021,2048199609600
2025-03-18,57600,28138594,1620783014400
2025-03-19,58500,29421759,1721172901500
2025-03-20,60200,34989004,2106338040800
2025-03-21,61700,40155612,2477601260400
2025-03-24,60500,14088094,852329687000
2025-03-25,59800,17259455,1032115409000
2025-03-26,61400,16431645,1008903003000
2025-03-27,61800,20389790,1260089022000
2025-03-28,60200,16282514,980207342800
2025-03-31,57800,17633494,1019215953200
