날짜,close,volume,tradingValue
2023-06-01,84200,1365020,114934684000
2023-06-02,85200,894151,76181665200
2023-06-05,86200,689610,59444382000
2023-06-07,82000,3985993,326851426000
2023-06-08,81400,2402672,195577500800
2023-06-09,82900,1423561,118013206900
2023-06-12,81600,1076108,87810412800
2023-06-13,82300,1027454,84559464200
2023-06-14,83000,1331782,110537906000
2023-06-15,82300,976819,80392203700
2023-06-16,81600,1396059,113918414400
2023-06-19,82300,592234,48740858200
2023-06-20,81700,700544,57234444800
2023-06-21,83900,1636970,137341783000
2023-06-22,83400,764933,63795412200
2023-06-23,83400,895139,74654592600
2023-06-26,85500,1332113,113895661500
2023-06-27,86200,1041380,89766956000
2023-06-28,86400,953623,82393027200
2023-06-29,86000,761277,65469822000
2023-06-30,88500,1899152,168074952000
2023-07-03,88500,951562,84213237000
2023-07-04,88900,963786,85680575400
2023-07-05,88100,950585,83746538500
2023-07-06,89000,1394753,124133017000
2023-07-07,87900,982277,86342148300
2023-07-10,87500,870366,76157025000
2023-07-11,88500,802263,71000275500
2023-07-12,88400,798856,70618870400
2023-07-13,87500,989972,86622550000
2023-07-14,88700,1212425,107542097500
2023-07-17,86600,968236,83849237600
2023-07-18,85900,962946,82717061400
2023-07-19,86000,709966,61057076000
2023-07-20,84300,1040267,87694508100
2023-07-21,84500,769963,65061873500
2023-07-24,83500,969395,80944482500
2023-07-25,84600,1095142,92649013200
2023-07-26,82600,2126961,175686978600
2023-07-27,83100,1863363,154845465300
2023-07-28,84200,1838414,154794458800
2023-07-31,82700,1143605,94576133500
2023-08-01,83300,1129424,94081019200
2023-08-02,80000,2159024,172721920000
2023-08-03,80700,989975,79890982500
2023-08-04,80600,616785,49712871000
2023-08-07,77600,2254858,174976980800
2023-08-08,78300,1527761,119623686300
2023-08-09,78900,946574,74684688600
2023-08-10,78900,1050522,82886185800
2023-08-11,80300,1290039,103590131700
2023-08-14,78700,875348,68889887600
2023-08-16,78000,701727,54734706000
2023-08-17,78400,1085644,85114489600
2023-08-18,78400,631497,49509364800
2023-08-21,78100,483738,37779937800
2023-08-22,78800,563960,44440048000
2023-08-23,78700,541701,42631868700
2023-08-24,78800,732961,57757326800
2023-08-25,78100,656919,51305373900
2023-08-28,78300,465264,36430171200
2023-08-29,80200,1066302,85517420400
2023-08-30,80400,642079,51623151600
2023-08-31,80200,1221196,97939919200
2023-09-01,79700,430154,34283273800
2023-09-04,80000,625059,50004720000
2023-09-05,79100,623988,49357450800
2023-09-06,78900,693599,54724961100
2023-09-07,78300,950333,74411073900
2023-09-08,77800,470141,36576969800
2023-09-11,77600,462259,35871298400
2023-09-12,77700,615337,47811684900
2023-09-13,78500,915335,71853797500
2023-09-14,79200,770400,61015680000
2023-09-15,80100,1406794,112684199400
2023-09-18,79400,571336,45364078400
2023-09-19,79400,621704,49363297600
2023-09-20,81400,1466060,119337284000
2023-09-21,79800,650659,51922588200
2023-09-22,80200,620891,49795458200
2023-09-25,82100,1163419,95516699900
2023-09-26,80900,828358,67014162200
2023-09-27,81400,1147397,93398115800
2023-10-04,81900,1734756,142076516400
2023-10-05,83500,1483105,123839267500
2023-10-06,85200,1594554,135856000800
2023-10-10,84100,2220163,186715708300
2023-10-11,84500,1561647,131959171500
2023-10-12,84500,842777,71214656500
2023-10-13,84200,881827,74249833400
2023-10-16,83900,957963,80373095700
2023-10-17,82300,1050207,86432036100
2023-10-18,83900,1037347,87033413300
2023-10-19,84100,1082319,91023027900
2023-10-20,81700,1257281,102719857700
2023-10-23,83000,816603,67778049000
2023-10-24,82100,892518,73275727800
2023-10-25,82000,609588,49986216000
2023-10-26,81000,1097964,88935084000
2023-10-27,79700,1115007,88866057900
2023-10-30,78100,1211921,94651030100
2023-10-31,76900,1040116,79984920400
2023-11-01,77400,754912,58430188800
2023-11-02,78500,1387393,108910350500
2023-11-03,77600,1314264,101986886400
2023-11-06,79000,2083115,164566085000
2023-11-07,77500,1285076,99593390000
2023-11-08,77000,1038502,79964654000
2023-11-09,77500,837826,64931515000
2023-11-10,77000,660121,50829317000
2023-11-13,77000,518786,39946522000
2023-11-14,78200,1037469,81130075800
2023-11-15,81500,2150765,175287347500
2023-11-16,84500,2107692,178099974000
2023-11-17,85200,1271006,108289711200
2023-11-20,84400,973922,82199016800
2023-11-21,83600,916802,76644647200
2023-11-22,83100,730476,60702555600
2023-11-23,84500,636051,53746309500
2023-11-24,84200,594791,50081402200
2023-11-27,84100,539991,45413243100
2023-11-28,84600,774545,65526507000
2023-11-29,86000,1346329,115784294000
2023-11-30,85900,1896215,162884868500
2023-12-01,85800,695821,59701441800
2023-12-04,84100,1026876,86360271600
2023-12-05,84100,572456,48143549600
2023-12-06,84500,765813,64711198500
2023-12-07,85100,675617,57495006700
2023-12-08,86400,834740,72121536000
2023-12-11,87100,780527,67983901700
2023-12-12,87400,1091566,95402868400
2023-12-13,87400,601164,52541733600
2023-12-14,87200,1465254,127770148800
2023-12-15,89300,1991815,177869079500
2023-12-18,89400,907576,81137294400
2023-12-19,89300,627320,56019676000
2023-12-20,95000,3016274,286546030000
2023-12-21,95400,2479053,236501656200
2023-12-22,95600,1331329,127275052400
2023-12-26,96300,1043738,100511969400
2023-12-27,97000,1040291,100908227000
2023-12-28,100000,2100873,210087300000
2024-01-02,97600,1341485,130928936000
2024-01-03,93800,1694613,158954699400
2024-01-04,92900,1589156,147632592400
2024-01-05,91600,1110042,101679847200
2024-01-08,88900,1397056,124198278400
2024-01-09,89100,1384540,123362514000
2024-01-10,90500,1123770,101701185000
2024-01-11,89700,1472306,132065848200
2024-01-12,88300,923693,81562091900
2024-01-15,90900,956800,86973120000
2024-01-16,89800,836055,75077739000
2024-01-17,87900,961515,84517168500
2024-01-18,87300,840897,73410308100
2024-01-19,87600,831282,72820303200
2024-01-22,87200,1060021,92433831200
2024-01-23,87900,917374,80637174600
2024-01-24,87900,882524,77573859600
2024-01-25,93000,3397759,315991587000
2024-01-26,94400,2383070,224961808000
2024-01-29,99900,3200604,319740339600
2024-01-30,98000,3463949,339467002000
2024-01-31,102900,3793928,390395191200
2024-02-01,106300,3751067,398738422100
2024-02-02,119500,8478816,1013218512000
2024-02-05,118300,6726216,795711352800
2024-02-06,111600,5169164,576878702400
2024-02-07,114700,4555156,522476393200
