날짜,close,volume,tradingValue
2023-06-01,110300,5553560,612557668000
2023-06-02,110300,3991904,440307011200
2023-06-05,108700,3316020,360451374000
2023-06-07,108000,3313460,357853680000
2023-06-08,109700,4355468,477794839600
2023-06-09,115400,7950947,917539283800
2023-06-12,114800,2637721,302810370800
2023-06-13,119500,6232477,744781001500
2023-06-14,118800,3240260,384942888000
2023-06-15,119000,3778592,449652448000
2023-06-16,118900,4303391,511673189900
2023-06-19,114800,4208396,483123860800
2023-06-20,116100,3319570,385402077000
2023-06-21,115100,2728146,314009604600
2023-06-22,114000,2612402,297813828000
2023-06-23,113600,2987472,339376819200
2023-06-26,113500,3350758,380311033000
2023-06-27,113000,3602087,407035831000
2023-06-28,114300,3178571,363310665300
2023-06-29,116200,4398301,511082576200
2023-06-30,115200,2674318,308081433600
2023-07-03,117600,3022009,355388258400
2023-07-04,117900,1988592,234454996800
2023-07-05,116700,2483034,289770067800
2023-07-06,113800,3465047,394322348600
2023-07-07,111800,2781723,310996631400
2023-07-10,110300,3163245,348905923500
2023-07-11,113400,2209391,250544939400
2023-07-12,115400,2228477,257166245800
2023-07-13,114100,3421492,390392237200
2023-07-14,118000,5817889,686510902000
2023-07-17,117200,2427281,284477333200
2023-07-18,117800,2299880,270925864000
2023-07-19,117500,2580301,303185367500
2023-07-20,116900,1949776,227928814400
2023-07-21,115100,2745384,315993698400
2023-07-24,114000,2761991,314866974000
2023-07-25,113400,2678385,303728859000
2023-07-26,113000,4995935,564540655000
2023-07-27,124000,9638980,1195233520000
2023-07-28,128000,8718746,1115999488000
2023-07-31,123400,4623350,570521390000
2023-08-01,125100,4656047,582471479700
2023-08-02,119500,3765478,449974621000
2023-08-03,120000,3498537,419824440000
2023-08-04,120100,2375384,285283618400
2023-08-07,121900,3724826,454056289400
2023-08-08,118600,2729243,323688219800
2023-08-09,118500,2551668,302372658000
2023-08-10,118500,2622604,310778574000
2023-08-11,115300,2412381,278147529300
2023-08-14,114900,2038360,234207564000
2023-08-16,115800,3870479,448201468200
2023-08-17,114800,3064253,351776244400
2023-08-18,117200,3329697,390240488400
2023-08-21,116400,2621973,305197657200
2023-08-22,116500,3349473,390213604500
2023-08-23,116000,2573292,298501872000
2023-08-24,120900,6368401,769939680900
2023-08-25,116500,3533647,411669875500
2023-08-28,115900,1746882,202463623800
2023-08-29,118600,2682352,318126947200
2023-08-30,119400,2629711,313987493400
2023-08-31,121800,4403695,536370051000
