날짜,close,volume,tradingValue
2023-06-01,204000,547388,111667152000
2023-06-02,204500,405330,82889985000
2023-06-05,204500,428762,87681829000
2023-06-07,205000,553505,113468525000
2023-06-08,200500,717690,143896845000
2023-06-09,200500,546093,109491646500
2023-06-12,200500,417698,83748449000
2023-06-13,201000,565013,113567613000
2023-06-14,199200,666340,132734928000
2023-06-15,200500,557684,111815642000
2023-06-16,202500,751013,152080132500
2023-06-19,198600,669785,133019301000
2023-06-20,198500,437974,86937839000
2023-06-21,189900,1358963,258067073700
2023-06-22,191300,580244,111000677200
2023-06-23,188900,689964,130334199600
2023-06-26,188900,489487,92464094300
2023-06-27,185900,877288,163087839200
2023-06-28,184800,717140,132527472000
2023-06-29,183400,578195,106040963000
2023-06-30,182800,683584,124959155200
2023-07-03,189300,869777,164648786100
2023-07-04,188700,491576,92760391200
2023-07-05,186500,686759,128080553500
2023-07-06,195500,1503767,293986448500
2023-07-07,195000,832803,162396585000
2023-07-10,193200,509523,98439843600
2023-07-11,197400,524208,103478659200
2023-07-12,202000,865666,174864532000
2023-07-13,199700,941626,188042712200
2023-07-14,204500,739825,151294212500
2023-07-17,206500,705819,145751623500
2023-07-18,209000,803341,167898269000
2023-07-19,204500,687227,140537921500
2023-07-20,204500,578731,118350489500
2023-07-21,206000,629745,129727470000
2023-07-24,203000,662414,134470042000
2023-07-25,201000,661241,132909441000
2023-07-26,197700,1068784,211298596800
2023-07-27,211500,1442727,305136760500
2023-07-28,211000,952122,200897742000
2023-07-31,227000,2725703,618734581000
2023-08-01,233000,3102468,722875044000
2023-08-02,227500,1388773,315945857500
2023-08-03,223000,1430439,318987897000
2023-08-04,223500,2561625,572523187500
2023-08-07,234500,3055268,716460346000
2023-08-08,223000,1933999,431281777000
2023-08-09,227500,1277473,290625107500
2023-08-10,225000,928409,208892025000
2023-08-11,222000,939248,208513056000
2023-08-14,221000,572079,126429459000
2023-08-16,222500,943493,209927192500
2023-08-17,218000,880587,191967966000
2023-08-18,212500,886686,188420775000
2023-08-21,214500,691652,148359354000
2023-08-22,221000,1005692,222257932000
2023-08-23,215500,868139,187083954500
2023-08-24,229000,3013711,690139819000
2023-08-25,211000,2072800,437360800000
2023-08-28,213500,695518,148493093000
2023-08-29,218000,805948,175696664000
2023-08-30,217500,600149,130532407500
2023-08-31,214500,808546,173433117000
2023-09-01,214500,569772,122216094000
2023-09-04,211500,660388,139672062000
2023-09-05,212000,390882,82866984000
2023-09-06,214000,808331,172982834000
2023-09-07,216500,1234068,267175722000
2023-09-08,215000,595117,127950155000
2023-09-11,211500,724040,153134460000
2023-09-12,219500,1284472,281941604000
2023-09-13,222000,923349,204983478000
2023-09-14,225500,990793,223423821500
2023-09-15,229500,1162871,266878894500
2023-09-18,221500,720909,159681343500
2023-09-19,219500,448589,98465285500
2023-09-20,217500,374274,81404595000
2023-09-21,210000,685787,144015270000
2023-09-22,208000,485769,101039952000
2023-09-25,206500,490044,101194086000
2023-09-26,201000,660374,132735174000
2023-09-27,201500,419270,84482905000
2023-10-04,191200,1163452,222452022400
2023-10-05,189400,622759,117950554600
2023-10-06,190900,403501,77028340900
2023-10-10,191200,627779,120031344800
